2,3-           	        	                          	smallest
free           	        	notating                  	symbol  	      	Scala  	Scala
class          	        	symbol                    	subset  	N2D3P9	archive	archive
name           	N2D3P9  	classes                   	indices 	rank  	rank   	occurrences
{539/13}₂,₃    	421.718 	                          	        	409.5 	-      	0
{637/11}₂,₃    	421.718 	                          	        	409.5 	-      	0
{1615}₂,₃      	426.181 	                          	        	411   	-      	0
{55/29}₂,₃     	428.287 	                          	        	413   	217.5  	4
{145/11}₂,₃    	428.287 	                          	        	413   	-      	0
{319/5}₂,₃     	428.287 	                          	        	413   	-      	0
{175/23}₂,₃    	428.588 	                          	        	415.5 	-      	0
{575/7}₂,₃     	428.588 	                          	        	415.5 	-      	0
{95/77}₂,₃     	428.966 	                          	        	418   	604.5  	1
{133/55}₂,₃    	428.966 	                          	        	418   	-      	0
{209/35}₂,₃    	428.966 	                          	        	418   	604.5  	1
{329}₂,₃       	429.528 	                          	        	420   	-      	0
{37/17}₂,₃     	430.981 	                          	        	421   	123.5  	9
{53/25}₂,₃     	433.488 	                          	        	422   	-      	0
{325/17}₂,₃    	434.838 	                          	        	423.5 	-      	0
{425/13}₂,₃    	434.838 	                          	        	423.5 	-      	0
{49/31}₂,₃     	436.009 	                          	        	425   	123.5  	9
{3125/11}₂,₃   	437.645 	                          	        	426   	-      	0
{3325}₂,₃      	438.715 	                          	        	427   	-      	0
{89}₂,₃        	440.056 	                          	        	428   	217.5  	4
{121/91}₂,₃    	441.799 	                          	        	429   	252.5  	3
{15625/7}₂,₃   	443.070 	                          	        	430   	604.5  	1
{185/7}₂,₃     	443.657 	                          	        	431.5 	-      	0
{259/5}₂,₃     	443.657 	                          	        	431.5 	604.5  	1
{551}₂,₃       	443.861 	                          	        	433   	-      	0
{361/7}₂,₃     	444.565 	                          	        	434   	-      	0
{43/13}₂,₃     	445.130 	                          	        	435   	252.5  	3
{91/23}₂,₃     	445.731 	                          	        	437   	329    	2
{161/13}₂,₃    	445.731 	                          	        	437   	-      	0
{299/7}₂,₃     	445.731 	                          	        	437   	-      	0
{343/65}₂,₃    	447.276 	                          	        	439   	-      	0
{253/25}₂,₃    	448.997 	                          	        	440   	604.5  	1
{47/11}₂,₃     	449.981 	                          	        	441   	134.5  	8
{59/7}₂,₃      	451.241 	                          	        	442   	604.5  	1
{5005}₂,₃      	451.840 	                          	        	443   	164    	6
{169/17}₂,₃    	452.231 	                          	        	444   	-      	0
{5929}₂,₃      	452.910 	                          	        	445   	-      	0
{527}₂,₃       	453.806 	                          	        	446   	604.5  	1
{203/25}₂,₃    	454.244 	                          	        	447   	-      	0
{1729}₂,₃      	456.264 	                          	        	448   	-      	0
{343/17}₂,₃    	458.921 	                          	        	449   	-      	0
{2875}₂,₃      	459.201 	                          	        	450   	-      	0
{275/19}₂,₃    	459.606 	                          	        	451.5 	-      	0
{475/11}₂,₃    	459.606 	                          	        	451.5 	-      	0
{95/23}₂,₃     	465.324 	                          	        	454   	-      	0
{115/19}₂,₃    	465.324 	                          	        	454   	-      	0
{437/5}₂,₃     	465.324 	                          	        	454   	-      	0
{71/5}₂,₃      	466.759 	                          	        	456   	-      	0
{1085}₂,₃      	467.153 	                          	        	457   	-      	0
{605/13}₂,₃    	473.356 	                          	        	458.5 	-      	0
{1573/5}₂,₃    	473.356 	                          	        	458.5 	604.5  	1
{323/25}₂,₃    	473.534 	                          	        	460   	604.5  	1
{1331/7}₂,₃    	474.477 	                          	        	461   	-      	0
{925}₂,₃       	475.347 	                          	        	462   	-      	0
{161/125}₂,₃   	476.209 	                          	        	463   	-      	0
{1805}₂,₃      	476.319 	                          	        	464   	-      	0
{47/35}₂,₃     	477.253 	                          	        	465   	329    	2
{1495}₂,₃      	477.569 	                          	        	466   	-      	0
{2023}₂,₃      	477.653 	                          	        	467   	-      	0
{143/19}₂,₃    	477.991 	                          	        	469   	-      	0
{209/13}₂,₃    	477.991 	                          	        	469   	-      	0
{247/11}₂,₃    	477.991 	                          	        	469   	-      	0
{1225/13}₂,₃   	479.225 	                          	        	471   	-      	0
{1715/11}₂,₃   	480.359 	                          	        	472.5 	-      	0
{3773/5}₂,₃    	480.359 	                          	        	472.5 	-      	0
{187/49}₂,₃    	480.775 	                          	        	474   	-      	0
{37/19}₂,₃     	481.685 	                          	        	475   	94.5   	12
{61/7}₂,₃      	482.352 	                          	        	476   	147    	7
{221/125}₂,₃   	483.153 	                          	        	477   	-      	0
{295}₂,₃       	483.472 	                          	        	478   	-      	0
{2057}₂,₃      	485.681 	                          	        	479   	604.5  	1
{125/29}₂,₃    	486.690 	                          	        	480   	-      	0
{55/31}₂,₃     	489.398 	                          	        	482   	-      	0
{155/11}₂,₃    	489.398 	                          	        	482   	-      	0
{341/5}₂,₃     	489.398 	                          	        	482   	604.5  	1
{4165}₂,₃      	491.701 	                          	        	484   	-      	0
{73/5}₂,₃      	493.426 	                          	        	485   	134.5  	8
{481}₂,₃       	494.361 	                          	        	486   	-      	0
{289/11}₂,₃    	500.398 	                          	        	487   	-      	0
{175/143}₂,₃   	502.045 	                          	        	489.5 	-      	0
{275/91}₂,₃    	502.045 	                          	        	489.5 	-      	0
{325/77}₂,₃    	502.045 	                          	        	489.5 	-      	0
{1001/25}₂,₃   	502.045 	                          	        	489.5 	252.5  	3
{245/121}₂,₃   	503.233 	                          	        	492.5 	-      	0
{605/49}₂,₃    	503.233 	                          	        	492.5 	-      	0
{65/29}₂,₃     	506.157 	                          	        	495   	329    	2
{145/13}₂,₃    	506.157 	                          	        	495   	-      	0
{377/5}₂,₃     	506.157 	                          	        	495   	-      	0
{95/91}₂,₃     	506.960 	                          	        	498   	-      	0
{133/65}₂,₃    	506.960 	                          	        	498   	-      	0
{247/35}₂,₃    	506.960 	                          	        	498   	604.5  	1
{589}₂,₃       	507.194 	                          	        	500   	-      	0
{6655}₂,₃      	508.368 	                          	        	501   	-      	0
{209/125}₂,₃   	510.674 	                          	        	502   	604.5  	1
{11375}₂,₃     	513.455 	                          	        	503   	-      	0
{451}₂,₃       	513.639 	                          	        	504   	-      	0
{13475}₂,₃     	514.670 	                          	        	505   	-      	0
{385/17}₂,₃    	515.116 	                          	        	507.5 	-      	0
{595/11}₂,₃    	515.116 	                          	        	507.5 	-      	0
{935/7}₂,₃     	515.116 	                          	        	507.5 	-      	0
{1309/5}₂,₃    	515.116 	                          	        	507.5 	-      	0
{31/29}₂,₃     	516.093 	                          	        	510   	186.5  	5
{305}₂,₃       	516.806 	                          	        	511   	-      	0
{217/25}₂,₃    	519.059 	                          	        	512   	-      	0
{42875}₂,₃     	521.050 	                          	        	513   	217.5  	4
{169/77}₂,₃    	522.127 	                          	        	514   	-      	0
{625/19}₂,₃    	522.280 	                          	        	515   	-      	0
{97}₂,₃        	522.722 	                          	        	516   	123.5  	9
{41/17}₂,₃     	529.204 	                          	        	517   	329    	2
{361/25}₂,₃    	529.244 	                          	        	518   	-      	0
{299/25}₂,₃    	530.633 	                          	        	519   	-      	0
{289/35}₂,₃    	530.725 	                          	        	520   	-      	0
{47/13}₂,₃     	531.796 	                          	        	521   	134.5  	8
{637/125}₂,₃   	532.472 	                          	        	522   	-      	0
{343/275}₂,₃   	533.732 	                          	        	523   	604.5  	1
{5915}₂,₃      	533.993 	                          	        	524   	-      	0
{59/25}₂,₃     	537.191 	                          	        	525   	329    	2
{667}₂,₃       	537.306 	                          	        	526   	-      	0
{1375/13}₂,₃   	537.905 	                          	        	527.5 	-      	0
{1625/11}₂,₃   	537.905 	                          	        	527.5 	-      	0
{3025/7}₂,₃    	539.178 	                          	        	529   	-      	0
{121/85}₂,₃    	539.645 	                          	        	530   	-      	0
{2401/125}₂,₃  	540.349 	                          	        	531   	252.5  	3
{325/19}₂,₃    	543.171 	                          	        	532.5 	-      	0
{475/13}₂,₃    	543.171 	                          	        	532.5 	-      	0
{205/7}₂,₃     	544.769 	                          	        	534.5 	-      	0
{287/5}₂,₃     	544.769 	                          	        	534.5 	-      	0
{371}₂,₃       	546.194 	                          	        	536   	-      	0
{425/49}₂,₃    	546.335 	                          	        	537.5 	-      	0
{833/25}₂,₃    	546.335 	                          	        	537.5 	-      	0
{4675}₂,₃      	551.910 	                          	        	539   	604.5  	1
{125/31}₂,₃    	556.134 	                          	        	540   	604.5  	1
{845/11}₂,₃    	559.421 	                          	        	541.5 	-      	0
{1859/5}₂,₃    	559.421 	                          	        	541.5 	604.5  	1
{529/5}₂,₃     	563.287 	                          	        	543   	-      	0
{1331/25}₂,₃   	564.853 	                          	        	544   	-      	0
